Name,Size,Size_unit,Size_g,Calories,Total_fats,Saturated_fats,Cholesterol,Sodium,Total_carbs,Dietary_fibers,Sugars,Proteins
olive,,g,100,115,11,1.4,0,735,6,3.2,0,0.8
onion_red,,g,94,41,0.2,0,0,2.8,9.5,1.3,4.4,1.3
onion_yellow,,g,94,41,0.2,0,0,2.8,9.5,1.3,4.4,1.3
paella_frozen,1,cup,140,170,3.5,1,40,340,25,1,1,9
parmigiano,,g,28,110,8,6,25,190,0,0,0,9
parsnip,,g,133,100,0.4,0.1,0,13,24,7,6,1.6
pasta,,g,56,200,0.5,0,0,0,40,2,1,7
pasta_contadina,1,cup,133,190,5,2.5,15,210,29,2,3,7
pasta_handmade,,g,520,1450.2,18.168,5.328,561.8333333,215.5866667,254.7666667,8.976,4.592,53.65333333
pasta_lasagna,,g,51,180,1.5,0,15,10,37,2,1,7
pasta_torchio,,g,100,299,2.8,0.9,0,78,55.9,3.1,1.4,10.9
pasta_whole,,g,56,200,1.5,0,0,0,41,5,1,7
pastrami,2.7,slice,56,80,2,0.5,25,340,2,0,0,13
peach,1,unit,150,58,0.4,0,0,0,14.8,2.3,12.6,1.4
pepper_green,1,unit,119,24,0.2,0.1,0,4,6,2,2.9,1
pepper_mix,0.66,cup,85,25,0,0,0,0,6,3,2,1
pepper_red,1,unit,119,37,0.4,0,0,5,7,2.5,5,1.2
pepper_yellow,,g,100,27,0.2,0,0,2,6,0.9,0,1
piadina_whole,1,unit,75,230,6.8,1.2,0,426,34,3.1,1.2,6.1
pineapple_frozen,1,cup,140,70,0,0,0,0,18,2,14,0
pistachio,,g,100,562,45,6,0,1,28,10,8,20
pita_white,1,unit,60,165,0.7,0.1,0,322,33,1.3,0,5
pita_whole,1,unit,71,190,1,0,0,270,37,5,1,7
pizza_cheese_ny,1,slice,180,508,21,9.2,45,1233,58,4.1,5.9,21
pizza_italy,8,slice,204,1617,31,13,68,1116,272,11.8,3.9,56.6
popcorn,,g,28.4,106,1.2,0.2,0,2,21,3.6,0.3,3.1
porchetta,,g,85,342,32,11,61,102,0.9,0.4,0.2,12
potato,1,unit,148,110,0,0,0,10,26,2,1,3
potato_chip,,g,28.4,152,10,3.1,0,2,15,1.4,0.1,2
potato_fries,,g,117,365,17,2.7,0,246,48,4.4,0.4,4
potato_red,,g,110,80,0,0,0,20,17,2,1,2
potato_sweet,,g,100,86,0.1,0,0,55,20,3,4.2,1.6
potato_sweet_japanese,1,unit,114,103,0.2,0.1,0,41,24,3.8,7.4,2.3
protein_bar_chocolate,1,unit,55,200,7,3.5,5,150,20,3,7,20
protein_bar_cookie,1,unit,55,200,7,3,10,75,20,3,6,20
protein_bar_peanut,1,unit,55,200,8,3,5,105,18,3,6,20
protein_powder_ascent_chocolate,1,scoop,33,120,1,0.5,30,115,4,0,1,25
quinoa,,g,100,380,6,0,0,0,62,5,0,14
rice_cake_brown,6,unit,29,110,1,0,0,30,23,1,0,3
rice_jasmine,0.25,cup,45,160,0,0,0,0,36,0,0,3
rice_white,,g,100,360,0.6,0.2,0,1,79,0,0,7
rice_white_steamed,1,cup,158,205,0.4,0.1,0,1.6,45,0.6,0.1,4.3
ricotta_skim,,g,55,60,4,3.5,20,100,2,0,2,4
risotto_mushroom,,g,140,150,4,1,5,430,25,1,1,3
salmon_smoked,,g,56,70,2.5,0.5,30,600,0,0,0,12
salmon_water,0.5,unit,85,80,1.5,0,15,85,0,0,0,16
sangria,1,glass,248,177,0.1,0,0,15,15,1.2,10,0.5
sauce_aioli,1,tbs,5,1,0,0,0,50,0,0,0,0
sauce_baba_ganoush,16,tbs,240,329,28,3.9,0,344,21,5.6,6.3,4.1
sauce_curry,1,tbs,16,15,1.3,0.4,0.2,61,0.8,0.2,0.6,0.2
sauce_gochujang,2,tbs,38,90,0.5,0,0,470,20,0,17,1
sauce_hummus,1,tbs,15,25,1.4,0.2,0,57,2.1,0.9,0,1.2
sauce_mayonnaise,1,tbs,13.8,94,10,1.6,6,88,0.1,0,0.1,0.1
sauce_pesto,2,tbs,32,130,14,2.5,5,350,1,1,0,2
sauce_ragu,,g,100,109,6.1,2.2,29,460,4.75,1,2.6,8.9
sauce_soy,1,tbs,16,8.5,0.1,0,0,879,0.8,0.1,0.1,1.3
sauce_tahini,1,tbs,15,89,8,1.1,0,17,3.2,1.4,0.1,2.6
sbrisolona,,g,100,513,28.2,12.3,0,80,51.4,7.3,21.7,9.7
scallop,4,unit,113,126,1,0.3,46,756,6.1,0,0,23
schiacciatina,1,unit,50,236,9.95,4.7,0,340,33.4,0.5,1,4.5
seafood_frozen,,g,110,90,1,0,155,240,2,0,0,18
soda,1,unit,368,150,0,0,0,15,39,0,39,0
spinach,,g,100,23,0.4,0.1,0,79,3.6,2.2,0.4,2.9
spinach_frozen,,g,454,150,5,0,0,450,25,20,0,20
stracotto,,g,100,139,6.2,1.8,359,213,3.6,1.7,0.44,16.6
strawberry,8,unit,140,45,0,0,0,0,11,3,7,1
sugar_brown,,g,100,380,0,0,0,28,98,0,97,0.1
sugar_white,,g,100,387,0,0,0,1,100,0,100,0
swordfish,,g,100,172,8,1.9,78,97,0,0,0,23
tofu,,g,100,94,4.7,0.6,0,6,2.4,1.2,0,9.4
tomato,,g,148,25,0,0,0,20,5,1,3,1
